石狩市花川	43.17167	141.315
石狩市聚富	43.275	141.41833
札幌中央区北２条	43.06	141.32833
江別市高砂町	43.10333	141.53667
千歳市北栄	42.82667	141.64167
新千歳空港	42.78333	141.67833
恵庭市漁平	42.84333	141.44667
八雲町上の湯	42.12	140.36667
函館市尾札部町	41.89	141.02833
函館市美原	41.81667	140.75333
七飯町桜町	41.90333	140.68833
渡島森町御幸町	42.105	140.57667
渡島松前町福山	41.43	140.11
渡島松前町清部	41.525	140.00667
知内町小谷石	41.53167	140.41333
檜山江差町姥神	41.86833	140.125
せたな町北檜山区豊岡	42.42333	139.87667
小樽市勝納町	43.18333	141.01667
積丹町日司町	43.355	140.47167
余市町朝日町	43.195	140.78333
倶知安町南１条	42.90167	140.75667
島牧村江ノ島	42.645	140.04167
寿都町新栄	42.795	140.225
岩内町高台	42.98	140.515
奥尻町松江	42.085	139.47
北竜町竜西	43.745	141.72167
芦別市旭町	43.50667	142.22
滝川市大町	43.55667	141.91
夕張市若菜	43.02833	141.965
岩見沢市５条	43.21333	141.785
美唄市西５条	43.335	141.84667
士別市朝日町	44.11833	142.59333
士別市東６条	44.17667	142.40167
名寄市大通	44.355	142.46333
旭川市宮前１条	43.75833	142.37333
上川地方上川町越路	43.87667	142.74333
富良野市若松町	43.345	142.385
上富良野町大町	43.455	142.46667
南富良野町幾寅	43.16667	142.59
羽幌町南３条	44.36333	141.70167
羽幌町焼尻	44.43	141.42333
初山別村有明	44.40167	141.85
留萌市大町	43.94667	141.63167
稚内市恵北	45.31833	141.89333
稚内市開運	45.415	141.67833
宗谷枝幸町岬町	44.96167	142.58
宗谷枝幸町本町	44.94	142.585
礼文町上泊埼	45.42333	141.065
利尻富士町鬼脇	45.14	141.30667
網走市台町	44.01833	144.28
美幌町東３条	43.81667	144.10333
斜里町本町	43.91167	144.67167
北見市公園町	43.81833	143.90333
北見市常呂町東浜	44.11833	144.085
北見市留辺蘂町温根湯温泉	43.75833	143.51
紋別市南が丘町	44.345	143.355
遠軽町丸瀬布金湧山	44.01	143.35667
雄武町雄武	44.58333	142.96167
胆振伊達市梅本	42.47333	140.87667
室蘭市山手町	42.31167	140.975
苫小牧市末広町	42.63833	141.61167
登別市鉱山	42.47167	141.035
白老町竹浦	42.49333	141.255
厚真町鹿沼	42.62333	141.92
平取町仁世宇	42.78167	142.36
新ひだか町静内山手町	42.345	142.36167
新ひだか町静内御園	42.41	142.46667
浦河町野深	42.28333	142.75
浦河町潮見	42.16167	142.77667
えりも町本町	42.01667	143.15333
足寄町上螺湾	43.3	143.765
帯広市東４条	42.92333	143.21167
十勝清水町南４条	43.01167	142.885
幕別町忠類明和	42.61833	143.36
本別町北２丁目	43.125	143.61167
広尾町並木通	42.295	143.31667
広尾町白樺通	42.29167	143.29833
弟子屈町美里	43.48167	144.43667
釧路市幸町	42.98667	144.37833
釧路市音別町尺別	42.905	143.83167
厚岸町尾幌	42.99667	144.69333
浜中町湯沸	43.08333	145.16
中標津町養老牛	43.58833	144.715
標津町古多糠	43.775	145.005
羅臼町春日	43.94	145.12
別海町常盤	43.395	145.11833
根室市弥栄	43.33167	145.585
根室市豊里	43.36667	145.73833
青森市花園	40.82167	140.76833
五所川原市栄町	40.8	140.44333
五所川原市太田	41.06	140.40833
平内町小湊	40.925	140.95333
弘前市和田町	40.61167	140.455
弘前市弥生	40.65167	140.35833
鰺ヶ沢町舞戸町鳴戸	40.78167	140.23333
深浦町長慶平	40.595	140.00333
深浦町深浦岡町	40.64667	139.93333
八戸市島守	40.37667	141.51167
八戸市湊町	40.52833	141.52167
七戸町北天間舘	40.79	141.065
六ヶ所村尾駮	40.96667	141.37333
六ヶ所村出戸	41.00667	141.36667
五戸町古舘	40.53167	141.30833
むつ市金曲	41.28333	141.21167
むつ市大畑町奥薬研	41.385	141.045
東通村砂子又蒲谷地	41.265	141.33667
宮古市鍬ヶ崎	39.64667	141.965
宮古市長沢	39.57667	141.82
久慈市川崎町	40.19	141.775
久慈市枝成沢	40.205	141.71
山田町八幡町	39.46833	141.95
田野畑村田野畑	39.94167	141.86
岩手洋野町種市	40.40833	141.71833
大船渡市大船渡町	39.065	141.715
大船渡市猪川町	39.08333	141.665
釜石市只越町	39.27667	141.885
盛岡市山王町	39.69833	141.165
二戸市福岡	40.27167	141.30333
雫石町千刈田	39.69667	140.97667
雫石町西根上駒木野	39.74167	140.95333
葛巻町葛巻元木	39.98667	141.32667
八幡平市大更	39.92667	141.095
花巻市大迫町	39.47833	141.29
北上市柳原町	39.29333	141.11
一関市大東町	39.01667	141.395
奥州市水沢大鐘町	39.13	141.13833
気仙沼市赤岩	38.88	141.575
気仙沼市本吉町西川内	38.81	141.47333
涌谷町新町裏	38.54	141.12667
栗原市栗駒	38.82667	140.99167
登米市中田町	38.71	141.235
南三陸町志津川	38.67833	141.46167
大崎市古川三日町	38.57333	140.95667
大崎市古川大崎	38.60167	140.91167
仙台空港	38.13833	140.92833
柴田町船岡	38.055	140.76333
